Name	Smiles
ACETAZOLAMIDE	CC(=O)Nc1nnc(s1)S(=O)(=O)N
ACETOPHENAZINE	CC(=O)c1ccc2c(c1)N(c3ccccc3S2)CCCN4CCN(CC4)CCO
ALFENTANIL	CCC(=O)N(c1ccccc1)C2(CCN(CC2)CCn3c(=O)n(nn3)CC)COC
ALPRAZOLAM	Cc1nnc2n1-c3ccc(cc3C(=NC2)c4ccccc4)Cl
AMANTADINE	C1C2CC3CC1CC(C2)(C3)N
AMINOPHYLLINE	Cn1c2c(c(=O)n(c1=O)C)[nH]cn2
AMISULPRIDE	CCN1CCCC1CNC(=O)c2cc(c(cc2OC)N)S(=O)(=O)CC
AMITRIPTYLINE	CN(C)CCC=C1c2ccccc2CCc3c1cccc3
AMPHETAMINE	CC(Cc1ccccc1)N
AMOBARBITAL	CCC1(C(=O)NC(=O)NC1=O)CCC(C)C
ANIRACETAM	COc1ccc(cc1)C(=O)N2CCCC2=O
APOMORPHINE	CN1CCc2cccc-3c2C1Cc4c3c(c(cc4)O)O
ATOMOXETINE	Cc1ccccc1OC(CCNC)c2ccccc2
AZATADINE	CN1CCC(=C2c3ccccc3CCc4c2nccc4)CC1
BACLOFEN	c1cc(ccc1C(CC(=O)O)CN)Cl
BENPERIDOL	c1ccc2c(c1)[nH]c(=O)n2C3CCN(CC3)CCCC(=O)c4ccc(cc4)F
BENZHEXOL	c1ccc(cc1)C(CCN2CCCCC2)(C3CCCCC3)O
BENZPHETAMINE	CC(Cc1ccccc1)N(C)Cc2ccccc2
BENZTROPINE	CN1C2CCC1CC(C2)OC(c3ccccc3)c4ccccc4
BETAHISTINE	CNCCc1ccccn1
BIPERIDEN	c1ccc(cc1)C(CCN2CCCCC2)(C3CC4CC3C=C4)O
BROMAZEPAM	c1ccnc(c1)C2=NCC(=O)Nc3c2cc(cc3)Br
BROMOCRIPTINE	CC(C)CC1C(=O)N2CCCC2C3(N1C(=O)C(O3)(C(C)C)NC(=O)C4CN(C5Cc6c7c(cccc7[nH]c6Br)C5=C4)C)O
BROMPHENIRAMINE	CN(C)CCC(c1ccc(cc1)Br)c2ccccn2
BROTIZOLAM	Cc1nnc2n1-c3c(cc(s3)Br)C(=NC2)c4ccccc4Cl
BUPRENORPHINE	CC(C)(C)C(C)(C1CC23CCC1(C4C25CCN(C3Cc6c5c(c(cc6)O)O4)CC7CC7)OC)O
BUPROPION	CC(C(=O)c1cccc(c1)Cl)NC(C)(C)C
BUSPIRONE	c1cnc(nc1)N2CCN(CC2)CCCCN3C(=O)CC4(CCCC4)CC3=O
BUTALBITAL	CC(C)CC1(C(=O)NC(=O)NC1=O)CC=C
BUTOBARBITONE	CCC(C)C1(C(=O)NC(=O)NC1=O)CC
BUTORPHANOL	c1cc2c(cc1O)C34CCCCC3(C(C2)N(CC4)CC5CCC5)O
CABERGOLINE	CCNC(=O)N(CCCN(C)C)C(=O)C1CC2c3cccc4c3c(c[nH]4)CC2N(C1)CC=C
CAFFEINE	Cn1cnc2c1c(=O)n(c(=O)n2C)C
CARBAMAZEPINE	c1ccc2c(c1)C=Cc3ccccc3N2C(=O)N
CARPIPRAMINE	c1ccc2c(c1)CCc3ccccc3N2CCCN4CCC(CC4)(C(=O)N)N5CCCCC5
CHLOMETHIAZOLE	Cc1c(scn1)CCCl
CHLORAL_HYDRATE	C(C(Cl)(Cl)Cl)(O)O
CHLORAZEPATE	c1ccc(cc1)C2=NC(C(=O)Nc3c2cc(cc3)Cl)C(=O)O
CHLORDIAZEPOXIDE	C/N=C\1/CN(C(=c2cc(ccc2=N1)Cl)c3ccccc3)O
CHLORMEZANONE	CN1C(S(=O)(=O)CCC1=O)c2ccc(cc2)Cl
CHLORPHENESIN	c1cc(ccc1OCC(CO)O)Cl
CHLORPHENIRAMINE	CN(C)CCC(c1ccc(cc1)Cl)c2ccccn2
CHLORPROMAZINE	CN(C)CCCN1c2ccccc2Sc3c1cc(cc3)Cl
CHLORPROTHIXINE	CN(C)CC/C=C\1/c2ccccc2Sc3c1cc(cc3)Cl
CHLORZOXAZONE	c1cc2c(cc1Cl)[nH]c(=O)o2
CINNARIZINE	c1ccc(cc1)/C=C/CN2CCN(CC2)C(c3ccccc3)c4ccccc4
CINOLAZEPAM	c1ccc(c(c1)C2=NC(C(=O)N(c3c2cc(cc3)Cl)CCC#N)O)F
CITALOPRAM/ESCITALOPRAM	CN(C)CCCC1(c2ccc(cc2CO1)C#N)c3ccc(cc3)F
CLEMASTINE	CC(c1ccccc1)(c2ccc(cc2)Cl)OCCC3CCCN3C
CLOBAZAM	CN1c2ccc(cc2N(C(=O)CC1=O)c3ccccc3)Cl
CLOMIPRAMINE	CN(C)CCCN1c2ccccc2CCc3c1cc(cc3)Cl
CLONAZEPAM	c1ccc(c(c1)C2=NCC(=O)Nc3c2cc(cc3)[N+](=O)[O-])Cl
CLONIDINE	c1cc(c(c(c1)Cl)NC2=NCCN2)Cl
CLOZAPINE	CN1CCN(CC1)C2=Nc3cc(ccc3Nc4c2cccc4)Cl
COCAINE	CN1C2CCC1C(C(C2)OC(=O)c3ccccc3)C(=O)OC
CODEINE	CN1CCC23c4c5ccc(c4OC2C(C=CC3C1C5)O)OC
CYCLIZINE	CN1CCN(CC1)C(c2ccccc2)c3ccccc3
CYCLOBENZAPRINE	CN(C)CCC=C1c2ccccc2C=Cc3c1cccc3
CYPROHEPTADINE	CN1CCC(=C2c3ccccc3C=Cc4c2cccc4)CC1
MEPERIDINE	CCOC(=O)C1(CCN(CC1)C)c2ccccc2
DESFLURANE	C(C(F)(F)F)(OC(F)F)F
