m_name	n_atoms_without_Hydrogen	n_HBA	n_HBD	n_HOH	n_O	m_logp	m_mr	n_hetero_atoms	n_Hydrogen_acceptors	n_Hydrogen_donnors	is_cns_molecule
BUMETANIDE	25	5	3	4	7	3.0365	94.68820000000008	8	5	3	0
BACLOFEN	14	2	2	3	3	1.8569999999999995	55.50020000000002	4	2	2	1
METYRAPONE	17	3	0	0	3	2.637100000000001	65.83050000000004	3	3	0	0
METHYLPHENOBARBITAL	18	3	1	1	5	1.0425999999999995	64.71970000000003	5	3	1	1
DULOXETINE	21	3	1	1	2	4.630900000000004	90.17970000000004	3	3	1	1
FLUTICASONE	34	6	1	1	5	4.430000000000004	120.86780000000005	9	6	1	0
DIACEREIN	27	7	1	1	8	2.0108	89.32630000000006	8	7	1	0
DOSULEPIN	21	2	0	0	1	4.675700000000004	92.69500000000004	2	2	0	1
CAPTOPRIL	14	3	2	1	4	0.6279000000000001	55.38780000000003	5	3	2	0
PINACIDIL	18	3	2	2	5	2.3547800000000008	72.96040000000005	5	3	2	0
ZONISAMIDE	14	4	1	2	5	0.6163	50.82020000000002	6	4	1	1
GATIFLOXACIN	27	6	2	2	7	1.9804	99.62600000000006	8	6	2	0
HETACILLIN	27	5	2	2	7	1.4111	100.75950000000006	8	5	2	0
BENORILATE	23	5	1	1	6	2.789500000000001	83.45520000000003	6	5	1	0
CABERGOLINE	33	4	2	2	7	3.193900000000002	132.36540000000002	7	4	2	1
TANDOSPIRONE	28	6	0	0	7	1.4098999999999997	104.45000000000003	7	6	0	0
GRANISETRON	23	4	1	1	5	2.3184000000000005	90.39220000000006	5	4	1	1
SULFAPHENAZOLE	22	5	2	3	6	2.2553	85.2269	7	5	2	0
TALTIRELIN	29	6	4	5	12	-2.1463999999999954	97.85850000000003	12	6	4	1
QUINAPRIL	32	5	2	2	7	2.5671	119.90150000000007	7	5	2	0
QUETIAPINE	27	6	1	1	5	2.856000000000001	109.12180000000004	6	6	1	1
LORCAINIDE	26	2	0	0	3	4.788500000000004	108.81500000000004	4	2	0	0
PIPERACETAZINE	29	5	1	1	4	4.976400000000004	119.50130000000007	5	5	1	1
CODEINE	22	4	1	1	4	1.5010999999999997	82.46380000000005	4	4	1	1
THIABENDAZOLE	14	3	1	1	3	2.686400000000001	57.20170000000002	4	3	1	0
ALTRETAMINE	15	6	0	0	6	0.0696000000000001	62.808000000000035	6	6	0	0
OXILOFRINE	13	3	3	3	3	1.0334999999999996	51.58830000000002	3	3	3	0
METHANTHELINE_BROMIDE	25	3	0	0	4	3.953800000000003	97.89340000000007	4	3	0	0
TIAGABINE	25	4	1	1	3	5.044840000000004	106.60780000000004	5	4	1	1
THIOGUANINE	11	4	3	4	5	0.5976899999999999	43.48579999999999	6	4	3	0
PIRACETAM	10	2	1	2	4	-0.9058999999999996	35.008399999999995	4	2	1	1
SUFENTANIL	27	4	0	0	4	4.214800000000004	112.52300000000008	5	4	0	1
FUSIDIC	37	5	3	3	6	5.6661000000000055	142.55139999999992	6	5	3	0
CARVEDILOL	30	5	3	3	6	3.7380000000000018	118.66520000000004	6	5	3	0
OXAPROZIN	22	3	1	1	4	4.025800000000003	83.33180000000003	4	3	1	0
RANITIDINE_BISMUTH_CITRATE	21	7	2	2	7	1.4589999999999996	84.40080000000003	8	7	2	0
METHOXSALEN	16	4	0	0	4	2.5478000000000005	58.80800000000002	4	4	0	0
GABAPENTIN	12	2	2	3	3	1.3703	46.82520000000001	3	2	2	1
DEXPANTHENOL	14	4	4	4	5	-1.1355999999999995	51.58610000000003	5	4	4	0
OXIRACETAM	11	3	2	3	5	-1.9350999999999992	36.39819999999999	5	3	2	1
