m_name	n_HBD	fraction_CSP3	n_non_strict_rotable_bonds	n_aromatic_carbocycles	n_hetero_cycles	n_O	n_aliphatic_rings	m_logp	n_amide_bonds	n_rings	is_cns_molecule
BUMETANIDE	3	0.2352941176470588	8	2	0	7	0	3.0365	0	2	0
BACLOFEN	2	0.3	4	1	0	3	0	1.8569999999999995	0	1	1
METYRAPONE	0	0.21428571428571427	3	0	2	3	0	2.637100000000001	0	2	0
METHYLPHENOBARBITAL	1	0.3076923076923077	2	1	1	5	1	1.0425999999999995	4	2	1
DULOXETINE	1	0.2222222222222222	6	2	1	2	0	4.630900000000004	0	3	1
FLUTICASONE	1	0.72	6	0	0	5	4	4.430000000000004	0	4	0
DIACEREIN	1	0.10526315789473684	5	2	0	8	1	2.0108	0	3	0
DOSULEPIN	0	0.2631578947368421	3	2	1	1	1	4.675700000000004	0	3	1
CAPTOPRIL	2	0.7777777777777778	4	0	1	4	1	0.6279000000000001	1	1	0
PINACIDIL	2	0.4615384615384616	5	0	1	5	0	2.3547800000000008	0	1	0
ZONISAMIDE	1	0.125	2	1	1	5	0	0.6163	0	2	1
GATIFLOXACIN	2	0.4736842105263158	4	1	2	7	2	1.9804	0	4	0
HETACILLIN	2	0.5263157894736842	3	1	3	7	3	1.4111	2	4	0
BENORILATE	1	0.1176470588235294	7	2	0	6	0	2.789500000000001	1	2	0
CABERGOLINE	2	0.5384615384615384	11	1	2	7	2	3.193900000000002	3	4	1
TANDOSPIRONE	0	0.7142857142857143	6	0	3	7	4	1.4098999999999997	2	5	0
GRANISETRON	1	0.5555555555555556	3	1	3	5	2	2.3184000000000005	1	4	1
SULFAPHENAZOLE	2	0.0	4	2	1	6	0	2.2553	0	3	0
TALTIRELIN	4	0.5294117647058824	8	0	3	12	2	-2.1463999999999954	6	3	1
QUINAPRIL	2	0.4	11	2	1	7	1	2.5671	1	3	0
QUETIAPINE	1	0.3809523809523809	6	2	2	5	2	2.856000000000001	0	4	1
LORCAINIDE	0	0.4090909090909091	6	2	1	3	1	4.788500000000004	1	3	0
PIPERACETAZINE	1	0.4583333333333333	7	2	2	4	2	4.976400000000004	0	4	1
CODEINE	1	0.5555555555555556	1	1	2	4	4	1.5010999999999997	0	5	1
THIABENDAZOLE	1	0.0	1	1	2	3	0	2.686400000000001	0	3	0
ALTRETAMINE	0	0.6666666666666666	3	0	1	6	0	0.0696000000000001	0	1	0
OXILOFRINE	3	0.4	3	1	0	3	0	1.0334999999999996	0	1	0
METHANTHELINE_BROMIDE	0	0.3809523809523809	7	2	1	4	1	3.953800000000003	0	3	0
TIAGABINE	1	0.45	6	0	3	3	1	5.044840000000004	0	3	1
THIOGUANINE	3	0.0	0	0	2	5	0	0.5976899999999999	0	2	0
PIRACETAM	1	0.6666666666666666	2	0	1	4	1	-0.9058999999999996	2	1	1
SUFENTANIL	0	0.5	9	1	2	4	1	4.214800000000004	1	3	1
FUSIDIC	3	0.8064516129032258	6	0	0	6	4	5.6661000000000055	0	4	0
CARVEDILOL	3	0.25	10	3	1	6	0	3.7380000000000018	0	4	0
OXAPROZIN	1	0.1111111111111111	5	2	1	4	0	4.025800000000003	0	3	0
RANITIDINE_BISMUTH_CITRATE	2	0.5384615384615384	10	0	1	7	0	1.4589999999999996	0	1	0
METHOXSALEN	0	0.08333333333333333	1	1	2	4	0	2.5478000000000005	0	3	0
GABAPENTIN	2	0.8888888888888888	3	0	0	3	1	1.3703	0	1	1
DEXPANTHENOL	4	0.8888888888888888	7	0	0	5	0	-1.1355999999999995	1	0	0
OXIRACETAM	2	0.6666666666666666	2	0	1	5	1	-1.9350999999999992	2	1	1
VENLAFAXINE	1	0.6470588235294118	5	1	0	3	1	3.035600000000002	0	2	1
SULFOXONE_SODIUM	4	0.14285714285714285	8	2	0	8	0	1.7015999999999998	0	2	0
TALINOLOL	4	0.65	10	1	0	6	1	3.268600000000002	2	2	0
METHADONE	0	0.3809523809523809	7	2	0	2	0	4.292000000000004	0	2	1
EDETATE_CALCIUM_DISODIUM	4	0.6	11	0	0	10	0	-2.0711999999999957	0	0	0
ZOPICLONE	0	0.35294117647058826	4	0	4	9	2	1.568	2	4	1
MOXIFLOXACIN_HYDROCHLORIDE	2	0.5238095238095238	4	1	3	7	3	2.3705	0	5	0
DESMOPRESSIN	14	0.4782608695652174	23	2	2	26	2	-4.1320300000000145	11	4	0
PHENMETRAZINE	1	0.4545454545454545	1	1	1	2	1	1.736	0	2	1
PAMIDRONATE	6	1.0	4	0	0	8	0	-1.6633000000000002	0	0	0
CEFACLOR	3	0.26666666666666666	5	1	2	7	2	0.6213000000000004	2	3	0
CARBOCYSTEINE	3	0.6	5	0	0	5	0	-0.7838999999999998	0	0	0
PENFLURIDOL	1	0.35714285714285715	8	3	1	2	1	7.532700000000008	0	4	1
TRAZODONE	0	0.3684210526315789	5	1	3	6	1	2.3617	0	4	1
OLMESARTAN	2	0.3103448275862069	11	2	3	12	0	4.1700200000000045	0	5	0
ZAFIRLUKAST	2	0.2903225806451613	11	3	1	9	1	5.6959200000000045	2	5	0
VORICONAZOLE	1	0.25	5	1	2	6	0	2.1769	0	3	0
DROSPIRENONE	0	0.8333333333333334	0	0	1	3	7	4.305900000000004	0	7	0
METHYLPHENIDATE	1	0.5	4	1	1	3	1	2.0853	0	2	1
TETRABENAZINE	0	0.631578947368421	4	1	2	4	2	3.238100000000002	0	3	1
MIDAZOLAM	0	0.1111111111111111	1	2	2	3	1	4.324220000000002	0	4	1
DISOPYRAMIDE	1	0.42857142857142855	8	1	1	4	0	3.3619000000000017	1	2	0
