m_name	n_HBD	n_aliphatic_heterocycles	n_HBA	m_logp	n_atoms_stereo_centers	n_O	n_hetero_atoms	n_primary_carbon_atoms	n_HOH	n_hetero_cycles	n_aliphatic_carbocycles	n_saturated_carbocycles	n_briged_head_atoms	fraction_CSP3	is_cns_molecule
BUMETANIDE	3	0	5	3.0365	0	7	8	17	4	0	0	0	0	0.2352941176470588	0
BACLOFEN	2	0	2	1.8569999999999995	1	3	4	10	3	0	0	0	0	0.3	1
METYRAPONE	0	0	3	2.637100000000001	0	3	3	14	0	2	0	0	0	0.21428571428571427	0
METHYLPHENOBARBITAL	1	1	3	1.0425999999999995	1	5	5	13	1	1	0	0	0	0.3076923076923077	1
DULOXETINE	1	0	3	4.630900000000004	1	2	3	18	1	1	0	0	0	0.2222222222222222	1
FLUTICASONE	1	0	6	4.430000000000004	9	5	9	25	1	0	4	3	0	0.72	0
DIACEREIN	1	0	7	2.0108	0	8	8	19	1	0	1	0	0	0.10526315789473684	0
DOSULEPIN	0	1	2	4.675700000000004	0	1	2	19	0	1	0	0	0	0.2631578947368421	1
CAPTOPRIL	2	1	3	0.6279000000000001	2	4	5	9	1	1	0	0	0	0.7777777777777778	0
PINACIDIL	2	0	3	2.3547800000000008	1	5	5	13	2	1	0	0	0	0.4615384615384616	0
ZONISAMIDE	1	0	4	0.6163	0	5	6	8	2	1	0	0	0	0.125	1
GATIFLOXACIN	2	1	6	1.9804	1	7	8	19	2	2	1	1	0	0.4736842105263158	0
HETACILLIN	2	3	5	1.4111	4	7	8	19	2	3	0	0	0	0.5263157894736842	0
BENORILATE	1	0	5	2.789500000000001	0	6	6	17	1	0	0	0	0	0.1176470588235294	0
CABERGOLINE	2	1	4	3.193900000000002	3	7	7	26	2	2	1	0	0	0.5384615384615384	1
TANDOSPIRONE	0	2	6	1.4098999999999997	4	7	7	21	0	3	2	2	2	0.7142857142857143	0
GRANISETRON	1	2	4	2.3184000000000005	2	5	5	18	1	3	0	0	2	0.5555555555555556	1
SULFAPHENAZOLE	2	0	5	2.2553	0	6	7	15	3	1	0	0	0	0.0	0
TALTIRELIN	4	2	6	-2.1463999999999954	3	12	12	17	5	3	0	0	0	0.5294117647058824	1
QUINAPRIL	2	1	5	2.5671	3	7	7	25	2	1	0	0	0	0.4	0
QUETIAPINE	1	2	6	2.856000000000001	0	5	6	21	1	2	0	0	0	0.3809523809523809	1
LORCAINIDE	0	1	2	4.788500000000004	0	3	4	22	0	1	0	0	0	0.4090909090909091	0
PIPERACETAZINE	1	2	5	4.976400000000004	0	4	5	24	1	2	0	0	0	0.4583333333333333	1
CODEINE	1	2	4	1.5010999999999997	5	4	4	18	1	2	2	0	2	0.5555555555555556	1
THIABENDAZOLE	1	0	3	2.686400000000001	0	3	4	10	1	2	0	0	0	0.0	0
ALTRETAMINE	0	0	6	0.0696000000000001	0	6	6	9	0	1	0	0	0	0.6666666666666666	0
OXILOFRINE	3	0	3	1.0334999999999996	2	3	3	10	3	0	0	0	0	0.4	0
METHANTHELINE_BROMIDE	0	1	3	3.953800000000003	0	4	4	21	0	1	0	0	0	0.3809523809523809	0
TIAGABINE	1	1	4	5.044840000000004	1	3	5	20	1	3	0	0	0	0.45	1
THIOGUANINE	3	0	4	0.5976899999999999	0	5	6	5	4	2	0	0	0	0.0	0
PIRACETAM	1	1	2	-0.9058999999999996	0	4	4	6	2	1	0	0	0	0.6666666666666666	1
SUFENTANIL	0	1	4	4.214800000000004	0	4	5	22	0	2	0	0	0	0.5	1
FUSIDIC	3	0	5	5.6661000000000055	10	6	6	31	3	0	4	4	0	0.8064516129032258	0
CARVEDILOL	3	0	5	3.7380000000000018	1	6	6	24	3	1	0	0	0	0.25	0
OXAPROZIN	1	0	3	4.025800000000003	0	4	4	18	1	1	0	0	0	0.1111111111111111	0
RANITIDINE_BISMUTH_CITRATE	2	0	7	1.4589999999999996	0	7	8	13	2	1	0	0	0	0.5384615384615384	0
METHOXSALEN	0	0	4	2.5478000000000005	0	4	4	12	0	2	0	0	0	0.08333333333333333	0
GABAPENTIN	2	0	2	1.3703	0	3	3	9	3	0	1	1	0	0.8888888888888888	1
DEXPANTHENOL	4	0	4	-1.1355999999999995	1	5	5	9	4	0	0	0	0	0.8888888888888888	0
OXIRACETAM	2	1	3	-1.9350999999999992	1	5	5	6	3	1	0	0	0	0.6666666666666666	1
VENLAFAXINE	1	0	3	3.035600000000002	1	3	3	17	1	0	1	1	0	0.6470588235294118	1
SULFOXONE_SODIUM	4	0	6	1.7015999999999998	2	8	11	14	4	0	0	0	0	0.14285714285714285	0
