m_name	n_atoms_without_Hydrogen	n_atoms_with_Hydrogen	m_weight	m_avg_weigth	m_weigth_without_Hydrogen	n_radical_electrons	n_valence_electrons	n_aliphatic_carbocycles	n_aliphatic_heterocycles	n_aliphatic_rings	n_amide_bonds	n_aromatic_carbocycles	n_aromatic_heterocycles	n_aromatic_rings	n_saturated_carbocycles	n_saturated_heterocycles	n_saturated_rings	n_HBA	n_HBD	n_hetero_atoms	n_hetero_cycles	n_rings	n_strict_rotable_bonds	n_non_strict_rotable_bonds	n_primary_carbon_atoms	n_HOH	n_O	n_Hydrogen_acceptors	n_Hydrogen_donnors	n_briged_head_atoms	n_atoms_stereo_centers	n_atoms_unspecified_stereo_centers	n_spiro_atoms	m_logp	m_mr	fraction_CSP3	p_meninges
BUMETANIDE	25	45	364.10929274	344.26300000000015	364.4230000000002	0	134	0	0	0	0	2	0	2	0	0	0	5	3	8	0	2	8	8	17	4	7	5	3	0	0	0	0	3.0365	94.68820000000008	0.2352941176470588	0
BACLOFEN	14	26	213.05565630400002	201.568	213.664	0	76	0	0	0	0	1	0	1	0	0	0	2	2	4	0	1	4	4	10	3	3	2	2	0	1	1	0	1.8569999999999995	55.50020000000002	0.3	1
METYRAPONE	17	31	226.110613068	212.167	226.27900000000002	0	86	0	0	0	0	0	2	2	0	0	0	3	0	3	2	2	3	3	14	0	3	3	0	0	0	0	0	2.637100000000001	65.83050000000004	0.21428571428571427	0
METHYLPHENOBARBITAL	18	32	246.100442308	232.154	246.266	0	94	0	1	1	4	1	0	1	0	1	1	3	1	5	1	2	2	2	13	1	5	3	1	0	1	1	0	1.0425999999999995	64.71970000000003	0.3076923076923077	1
DULOXETINE	21	40	297.11873522800005	278.271	297.42299999999994	0	108	0	0	0	0	2	1	3	0	0	0	3	1	3	1	3	6	6	18	1	2	3	1	0	1	1	0	4.630900000000004	90.17970000000004	0.2222222222222222	1
FLUTICASONE	34	65	500.18442975199997	469.33100000000013	500.5790000000002	0	188	4	0	4	0	0	0	0	3	0	3	6	1	9	0	4	4	6	25	1	5	6	1	0	9	9	0	4.430000000000004	120.86780000000005	0.72	0
DIACEREIN	27	39	368.053217344	356.20100000000014	368.29700000000014	0	136	1	0	1	0	2	0	2	0	0	0	7	1	8	0	3	3	5	19	1	8	7	1	0	0	0	0	2.0108	89.32630000000006	0.10526315789473684	0
DOSULEPIN	21	42	295.139470672	274.283	295.451	0	108	0	1	1	0	2	0	2	0	0	0	2	0	2	1	3	3	3	19	0	1	2	0	0	0	0	0	4.675700000000004	92.69500000000004	0.2631578947368421	1
CAPTOPRIL	14	29	217.07726434	202.17	217.29	0	80	0	1	1	1	0	0	0	0	1	1	3	2	5	1	1	3	4	9	1	4	3	2	0	2	2	0	0.6279000000000001	55.38780000000003	0.7777777777777778	0
PINACIDIL	18	37	245.16404560799998	226.178	245.33	0	96	0	0	0	0	0	1	1	0	0	0	3	2	5	1	1	2	5	13	2	5	3	2	0	1	1	0	2.3547800000000008	72.96040000000005	0.4615384615384616	0
ZONISAMIDE	14	22	212.02556311599997	204.166	212.23	0	74	0	0	0	0	1	1	2	0	0	0	4	1	6	1	2	2	2	8	2	5	4	1	0	0	0	0	0.6163	50.82020000000002	0.125	1
GATIFLOXACIN	27	49	375.159434404	353.22400000000016	375.40000000000015	0	144	1	1	2	0	1	1	2	1	1	2	6	2	8	2	4	4	4	19	2	7	6	2	0	1	1	0	1.9804	99.62600000000006	0.4736842105263158	0
HETACILLIN	27	50	389.14092721599997	366.2930000000002	389.47700000000015	0	144	0	3	3	2	1	0	1	0	3	3	5	2	8	3	4	3	3	19	2	7	5	2	0	4	4	0	1.4111	100.75950000000006	0.5263157894736842	0
