m_name	n_atoms_without_Hydrogen	n_atoms_with_Hydrogen	m_weight	m_avg_weigth	m_weigth_without_Hydrogen	n_radical_electrons	n_valence_electrons	n_aliphatic_heterocycles	n_aliphatic_rings	n_amide_bonds	n_aromatic_carbocycles	n_aromatic_rings	n_saturated_heterocycles	n_saturated_rings	n_HBA	n_HBD	n_hetero_atoms	n_rings	n_strict_rotable_bonds	n_non_strict_rotable_bonds	n_HOH	n_O	n_Hydrogen_acceptors	n_Hydrogen_donnors	n_briged_head_atoms	n_atoms_stereo_centers	n_atoms_unspecified_stereo_centers	m_logp	m_mr	fraction_CSP3	is_cns_molecule
BUMETANIDE	25.0	45.0	364.10929274	344.26300000000015	364.4230000000002	0.0	134.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	5.0	3.0	8.0	2.0	8.0	8.0	4.0	7.0	5.0	3.0	0.0	0.0	0.0	3.0365	94.68820000000008	0.2352941176470588	0
BACLOFEN	14.0	26.0	213.05565630400002	201.56799999999998	213.66400000000002	0.0	76.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	2.0	2.0	4.0	1.0	4.0	4.0	3.0	3.0	2.0	2.0	0.0	1.0	1.0	1.8569999999999995	55.50020000000002	0.3	1
METYRAPONE	17.0	31.0	226.110613068	212.167	226.279	0.0	86.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	3.0	0.0	3.0	2.0	3.0	3.0	0.0	3.0	3.0	0.0	0.0	0.0	0.0	2.637100000000001	65.83050000000004	0.21428571428571427	0
METHYLPHENOBARBITAL	18.0	32.0	246.100442308	232.15400000000002	246.266	0.0	94.0	1.0	1.0	4.0	1.0	1.0	1.0	1.0	3.0	1.0	5.0	2.0	2.0	2.0	1.0	5.0	3.0	1.0	0.0	1.0	1.0	1.0425999999999995	64.71970000000003	0.3076923076923077	1
DULOXETINE	21.0	40.0	297.11873522800005	278.27099999999996	297.42299999999994	0.0	108.0	0.0	0.0	0.0	2.0	3.0	0.0	0.0	3.0	1.0	3.0	3.0	6.0	6.0	1.0	2.0	3.0	1.0	0.0	1.0	1.0	4.630900000000004	90.17970000000004	0.2222222222222222	1
FLUTICASONE	34.0	65.0	500.18442975199997	469.3310000000001	500.5790000000002	0.0	188.0	0.0	4.0	0.0	0.0	0.0	0.0	3.0	6.0	1.0	9.0	4.0	4.0	6.0	1.0	5.0	6.0	1.0	0.0	9.0	9.0	4.430000000000004	120.86780000000005	0.72	0
DIACEREIN	27.0	39.0	368.053217344	356.20100000000014	368.29700000000014	0.0	136.0	0.0	1.0	0.0	2.0	2.0	0.0	0.0	7.0	1.0	8.0	3.0	3.0	5.0	1.0	8.0	7.0	1.0	0.0	0.0	0.0	2.0108	89.32630000000006	0.10526315789473684	0
DOSULEPIN	21.0	42.0	295.139470672	274.283	295.45099999999996	0.0	108.0	1.0	1.0	0.0	2.0	2.0	0.0	0.0	2.0	0.0	2.0	3.0	3.0	3.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	4.675700000000004	92.69500000000004	0.2631578947368421	1
CAPTOPRIL	14.0	29.0	217.07726434	202.17	217.29	0.0	80.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	3.0	2.0	5.0	1.0	3.0	4.0	1.0	4.0	3.0	2.0	0.0	2.0	2.0	0.6279000000000001	55.38780000000003	0.7777777777777778	0
PINACIDIL	18.0	37.0	245.16404560799998	226.178	245.33	0.0	96.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0	2.0	5.0	1.0	2.0	5.0	2.0	5.0	3.0	2.0	0.0	1.0	1.0	2.3547800000000008	72.96040000000005	0.4615384615384616	0
