m_name	n_atoms_without_Hydrogen	n_atoms_with_Hydrogen	m_weight	m_avg_weigth	m_weigth_without_Hydrogen	n_valence_electrons	n_aliphatic_carbocycles	n_aliphatic_heterocycles	n_aliphatic_rings	n_amide_bonds	n_aromatic_carbocycles	n_aromatic_heterocycles	n_aromatic_rings	n_saturated_carbocycles	n_saturated_heterocycles	n_saturated_rings	n_HBA	n_HBD	n_hetero_atoms	n_hetero_cycles	n_rings	n_strict_rotable_bonds	n_non_strict_rotable_bonds	n_primary_carbon_atoms	n_HOH	n_O	n_briged_head_atoms	n_atoms_stereo_centers	n_atoms_unspecified_stereo_centers	n_spiro_atoms	m_logp	m_mr	fraction_CSP3
ABACAVIR_SULFATE	21	39	286.154209196	268.19499999999994	286.339	110	2	0	2	0	0	2	2	1	0	1	7	3	7	2	4	4	4	14	4	7	0	2	2	0	1.0922999999999998	79.74990000000001	0.5
ACARBOSE	44	87	645.2480135359999	602.2640000000004	645.6080000000004	256	1	3	4	0	0	0	0	0	3	3	19	14	19	3	4	9	9	25	14	19	0	19	19	0	-8.564500000000011	137.73510000000005	0.92
ACEBUTOLOL	24	52	336.204907376	308.2080000000001	336.4320000000001	134	0	0	0	1	1	0	1	0	0	0	5	3	6	0	1	10	11	18	3	6	0	1	1	0	2.3655	94.62470000000005	0.5555555555555556
ACECAINIDE	20	43	277.179026976	254.18399999999994	277.368	110	0	0	0	2	1	0	1	0	0	0	3	2	5	0	1	7	9	15	2	5	0	0	0	0	1.7165999999999995	80.86690000000004	0.4666666666666667
ACECLOFENAC	23	36	353.02216325600006	341.08500000000004	354.1890000000001	120	0	0	0	0	2	0	2	0	0	0	4	2	7	0	2	6	7	16	2	5	0	0	0	0	3.907300000000002	88.48550000000004	0.125
ACEMETACIN	29	47	415.082264976	397.6850000000002	415.82900000000006	150	0	0	0	0	2	1	3	0	0	0	6	1	8	1	3	6	8	21	1	7	0	0	0	0	3.4705200000000014	106.7063	0.19047619047619047
ACENOCOUMAROL	26	41	353.0899372	338.2100000000001	353.33000000000004	132	0	0	0	0	2	1	3	0	0	0	6	1	7	1	3	5	5	19	1	7	0	1	1	0	3.517800000000002	94.38620000000002	0.15789473684210525
ACETOHEXAMIDE	22	42	324.11437811999997	304.2420000000001	324.40200000000016	120	1	0	1	2	1	0	1	1	0	1	4	2	7	0	2	4	6	15	2	6	0	0	0	0	2.2098000000000004	82.17270000000005	0.4666666666666667
ACETOHYDROXAMIC_ACID	5	10	75.0320284	70.027	75.067	30	0	0	0	1	0	0	0	0	0	0	2	2	3	0	0	0	1	2	2	3	0	0	0	0	-0.4882999999999999	15.603200000000001	0.5
ACETYLCYSTEINE	10	19	163.030314148	154.12599999999998	163.198	58	0	0	0	1	0	0	0	0	0	0	3	3	5	0	0	3	4	5	2	4	0	1	1	0	-0.4945	39.093500000000006	0.6
ACETYLDIGITOXIN	57	123	806.4452567920001	740.4590000000002	806.987	322	4	4	8	0	0	0	0	4	3	7	14	4	14	4	8	8	9	43	4	14	0	20	20	0	3.818100000000003	200.7681999999993	0.9069767441860465
ACITRETIN	24	50	326.18819469199997	300.228	326.4360000000001	128	0	0	0	0	1	0	1	0	0	0	2	1	3	0	1	6	6	21	1	3	0	0	0	0	5.167060000000005	100.52880000000005	0.2857142857142857
ADEFOVIR	18	30	273.062690494	261.09299999999996	273.1889999999999	98	0	0	0	0	0	2	2	0	0	0	7	3	10	2	2	5	5	8	4	9	0	0	0	0	-0.4397000000000001	62.59850000000002	0.375
ADEFOVIR_DIPIVOXIL	34	66	501.198849614	469.2210000000003	501.47700000000026	190	0	0	0	0	0	2	2	0	0	0	13	1	14	2	2	11	15	20	2	13	0	0	0	0	2.7025000000000006	121.15890000000006	0.65
ALBENDAZOLE	18	33	265.08849772	250.21799999999996	265.33799999999997	96	0	0	0	1	1	1	2	0	0	0	4	2	6	1	2	4	6	12	2	5	0	0	0	0	3.2433000000000005	73.13640000000002	0.3333333333333333
ALCLOFENAC	15	26	226.039671892	215.57099999999997	226.65899999999996	80	0	0	0	0	1	0	1	0	0	0	2	1	4	0	1	5	5	11	1	3	0	0	0	0	2.531900000000001	58.48380000000002	0.18181818181818182
ALENDRONATE_SODIUM	14	27	249.016725016	235.99199999999996	249.096	86	0	0	0	0	0	0	0	0	0	0	4	6	10	0	0	5	5	4	7	8	0	0	0	0	-1.2731999999999999	47.32640000000002	1.0
ALFACALCIDOL	29	73	400.334130648	356.29500000000013	400.6470000000003	164	3	0	3	0	0	0	0	3	0	3	2	2	2	0	3	6	6	27	2	2	0	6	6	0	6.589800000000009	122.57860000000007	0.7777777777777778
ALLOPURINOL	10	14	136.038510748	132.082	136.114	50	0	0	0	0	0	2	2	0	0	0	3	2	5	2	2	0	0	5	2	5	0	0	0	0	-0.35380000000000006	34.5094	0.0
ALMITRINE	35	64	477.2452503680001	448.33100000000024	477.5630000000002	182	0	1	1	0	2	1	3	0	1	1	7	2	9	2	4	10	10	26	2	7	0	0	0	0	4.257200000000003	135.62939999999995	0.2692307692307692
ALOSETRON	22	40	294.148061196	276.21399999999994	294.35800000000006	112	0	1	1	1	1	2	3	0	0	0	3	1	5	3	4	2	2	17	1	5	0	0	0	0	2.4083200000000007	84.68820000000004	0.29411764705882354
ALPRENOLOL	18	41	249.172878976	226.16999999999996	249.35399999999998	100	0	0	0	0	1	0	1	0	0	0	3	2	3	0	1	8	8	15	2	3	0	1	1	0	2.1528	74.98350000000005	0.4666666666666667
ALTRETAMINE	15	33	210.15929457599998	192.141	210.285	84	0	0	0	0	0	1	1	0	0	0	6	0	6	1	1	3	3	9	0	6	0	0	0	0	0.0696000000000001	62.808000000000035	0.6666666666666666
AMBENONIUM_CHLORIDE	36	78	536.26738478418	495.24000000000035	537.5760000000002	198	0	0	0	2	2	0	2	0	0	0	2	2	8	0	2	14	17	28	2	6	0	0	0	0	4.639200000000005	148.75019999999978	0.5
AMBROXOL	18	36	375.97858739599997	359.96400000000017	378.10800000000023	100	1	0	1	0	1	0	1	1	0	1	3	3	5	0	2	3	3	13	4	3	0	0	0	0	3.1869000000000014	81.35690000000002	0.5384615384615384
AMINOCAPROIC_ACID	9	22	131.094628656	118.07099999999997	131.175	54	0	0	0	0	0	0	0	0	0	0	2	2	3	0	0	5	5	6	3	3	0	0	0	0	0.5901000000000001	35.158199999999994	0.8333333333333334
AMINOGLUTETHIMIDE	17	33	232.121177752	216.15499999999997	232.283	90	0	1	1	2	1	0	1	0	1	1	3	2	4	1	2	2	2	13	3	4	0	1	1	0	1.3531999999999997	65.20710000000003	0.38461538461538464
AMINOSALICYLIC_ACID	11	18	153.042593084	146.08099999999996	153.137	58	0	0	0	0	1	0	1	0	0	0	3	3	4	0	1	1	1	7	4	4	0	0	0	0	0.6726000000000001	39.478500000000004	0.0
AMIODARONE_HYDROCHLORIDE	31	60	645.0236897880001	616.0870000000002	645.3190000000002	166	0	0	0	0	2	1	3	0	0	0	4	0	6	1	3	11	11	25	0	4	0	0	0	0	6.936200000000007	143.41749999999985	0.4
AMLODIPINE_BESYLATE	28	53	408.14519958	383.6820000000002	408.8820000000001	152	0	1	1	0	1	0	1	0	0	0	7	2	8	1	2	8	10	20	3	7	0	1	1	0	2.2663	105.57710000000004	0.4
AMODIAQUINE	25	47	355.1451400039999	333.6930000000001	355.8690000000001	130	0	0	0	0	2	1	3	0	0	0	4	2	5	1	3	6	6	20	2	4	0	0	0	0	5.179200000000004	104.76750000000003	0.25
AMOXICILLIN	25	44	365.104541708	346.25900000000007	365.4110000000001	134	0	2	2	2	1	0	1	0	2	2	6	4	9	2	3	4	5	16	5	8	0	4	4	0	0.023700000000000443	90.69370000000004	0.4375
AMPHOTERICIN_B	65	138	923.487849876	850.5069999999998	924.0910000000006	368	0	3	3	0	0	0	0	0	2	2	17	12	18	3	3	3	3	47	13	18	2	19	19	0	0.7117000000000075	236.99119999999945	0.6595744680851063
AMPICILLIN	24	43	349.10962708799997	330.26000000000005	349.4120000000001	128	0	2	2	2	1	0	1	0	2	2	5	3	8	2	3	4	5	16	4	7	0	4	4	0	0.3181000000000002	89.02890000000005	0.4375
